Time (MS),Core Type,Cores Active
0,small,4
0,medium,2
0,large,1
0.93,small,3
0.93,medium,1
0.93,large,1
1.86,small,4
1.86,medium,1
1.86,large,1
2.79,small,4
2.79,medium,2
2.79,large,2
3.72,small,4
3.72,medium,2
3.72,large,1
4.65,small,2
4.65,medium,1
4.65,large,1
5.58,small,4
5.58,medium,1
5.58,large,2
6.51,small,4
6.51,medium,2
6.51,large,1
7.4399999999999995,small,4
7.4399999999999995,medium,1
7.4399999999999995,large,1
8.37,small,3
8.37,medium,1
8.37,large,1
9.299999999999999,small,3
9.299999999999999,medium,1
9.299999999999999,large,1
10.229999999999999,small,3
10.229999999999999,medium,1
10.229999999999999,large,1
11.159999999999998,small,3
11.159999999999998,medium,2
11.159999999999998,large,1
12.089999999999998,small,3
12.089999999999998,medium,1
12.089999999999998,large,1
13.019999999999998,small,3
13.019999999999998,medium,1
13.019999999999998,large,1
13.949999999999998,small,3
13.949999999999998,medium,1
13.949999999999998,large,1
14.879999999999997,small,3
14.879999999999997,medium,1
14.879999999999997,large,1
15.809999999999997,small,2
15.809999999999997,medium,2
15.809999999999997,large,1
16.74,small,3
16.74,medium,1
16.74,large,1
17.669999999999998,small,1
17.669999999999998,medium,2
17.669999999999998,large,1
18.599999999999998,small,2
18.599999999999998,medium,2
18.599999999999998,large,1
19.529999999999998,small,4
19.529999999999998,medium,2
19.529999999999998,large,1
20.459999999999997,small,2
20.459999999999997,medium,1
20.459999999999997,large,1
21.389999999999997,small,4
21.389999999999997,medium,1
21.389999999999997,large,1
22.319999999999997,small,4
22.319999999999997,medium,1
22.319999999999997,large,1
23.249999999999996,small,2
23.249999999999996,medium,2
23.249999999999996,large,1
24.179999999999996,small,2
24.179999999999996,medium,2
24.179999999999996,large,1
25.109999999999996,small,2
25.109999999999996,medium,2
25.109999999999996,large,1
26.039999999999996,small,3
26.039999999999996,medium,1
26.039999999999996,large,1
26.969999999999995,small,2
26.969999999999995,medium,1
26.969999999999995,large,1
27.899999999999995,small,2
27.899999999999995,medium,1
27.899999999999995,large,1
28.829999999999995,small,4
28.829999999999995,medium,1
28.829999999999995,large,1
29.759999999999994,small,3
29.759999999999994,medium,1
29.759999999999994,large,1
30.689999999999994,small,2
30.689999999999994,medium,1
30.689999999999994,large,1
31.619999999999994,small,4
31.619999999999994,medium,1
31.619999999999994,large,1
32.55,small,2
32.55,medium,1
32.55,large,1
33.48,small,3
33.48,medium,1
33.48,large,1
34.41,small,3
34.41,medium,1
34.41,large,1
35.339999999999996,small,3
35.339999999999996,medium,1
35.339999999999996,large,1
36.269999999999996,small,2
36.269999999999996,medium,1
36.269999999999996,large,1
37.199999999999996,small,1
37.199999999999996,medium,2
37.199999999999996,large,1
38.129999999999995,small,2
38.129999999999995,medium,2
38.129999999999995,large,1
39.059999999999995,small,4
39.059999999999995,medium,1
39.059999999999995,large,2
39.989999999999995,small,2
39.989999999999995,medium,1
39.989999999999995,large,1
40.919999999999995,small,4
40.919999999999995,medium,1
40.919999999999995,large,1
41.849999999999994,small,3
41.849999999999994,medium,1
41.849999999999994,large,1
42.779999999999994,small,2
42.779999999999994,medium,1
42.779999999999994,large,1
43.709999999999994,small,4
43.709999999999994,medium,1
43.709999999999994,large,1
44.63999999999999,small,2
44.63999999999999,medium,1
44.63999999999999,large,1
45.56999999999999,small,3
45.56999999999999,medium,1
45.56999999999999,large,1
46.49999999999999,small,2
46.49999999999999,medium,2
46.49999999999999,large,1
47.42999999999999,small,2
47.42999999999999,medium,2
47.42999999999999,large,1
48.35999999999999,small,2
48.35999999999999,medium,2
48.35999999999999,large,1
49.28999999999999,small,4
49.28999999999999,medium,1
49.28999999999999,large,1
50.21999999999999,small,2
50.21999999999999,medium,2
50.21999999999999,large,1
51.14999999999999,small,3
51.14999999999999,medium,1
51.14999999999999,large,1
52.07999999999999,small,2
52.07999999999999,medium,1
52.07999999999999,large,1
53.00999999999999,small,2
53.00999999999999,medium,1
53.00999999999999,large,1
53.93999999999999,small,4
53.93999999999999,medium,1
53.93999999999999,large,1
54.86999999999999,small,3
54.86999999999999,medium,1
54.86999999999999,large,1
55.79999999999999,small,2
55.79999999999999,medium,1
55.79999999999999,large,1
56.72999999999999,small,4
56.72999999999999,medium,1
56.72999999999999,large,1
57.65999999999999,small,4
57.65999999999999,medium,1
57.65999999999999,large,1
58.58999999999999,small,2
58.58999999999999,medium,2
58.58999999999999,large,1
59.51999999999999,small,1
59.51999999999999,medium,2
59.51999999999999,large,1
60.44999999999999,small,1
60.44999999999999,medium,2
60.44999999999999,large,1
61.37999999999999,small,2
61.37999999999999,medium,2
61.37999999999999,large,1
62.30999999999999,small,2
62.30999999999999,medium,2
62.30999999999999,large,1
63.23999999999999,small,2
63.23999999999999,medium,2
63.23999999999999,large,1
64.16999999999999,small,2
64.16999999999999,medium,2
64.16999999999999,large,1
65.1,small,2
65.1,medium,2
65.1,large,1
66.03,small,2
66.03,medium,2
66.03,large,1
66.96000000000001,small,2
66.96000000000001,medium,2
66.96000000000001,large,1
67.89000000000001,small,2
67.89000000000001,medium,2
67.89000000000001,large,1
68.82000000000002,small,2
68.82000000000002,medium,2
68.82000000000002,large,1
69.75000000000003,small,2
69.75000000000003,medium,2
69.75000000000003,large,1
70.68000000000004,small,2
70.68000000000004,medium,2
70.68000000000004,large,1
71.61000000000004,small,2
71.61000000000004,medium,2
71.61000000000004,large,1
72.54000000000005,small,2
72.54000000000005,medium,2
72.54000000000005,large,1
73.47000000000006,small,2
73.47000000000006,medium,2
73.47000000000006,large,1
74.40000000000006,small,2
74.40000000000006,medium,2
74.40000000000006,large,1
75.33000000000007,small,2
75.33000000000007,medium,2
75.33000000000007,large,1
76.26000000000008,small,2
76.26000000000008,medium,2
76.26000000000008,large,1
77.19000000000008,small,2
77.19000000000008,medium,2
77.19000000000008,large,1
78.12000000000009,small,2
78.12000000000009,medium,2
78.12000000000009,large,1
79.0500000000001,small,2
79.0500000000001,medium,2
79.0500000000001,large,1
79.9800000000001,small,2
79.9800000000001,medium,2
79.9800000000001,large,1
80.91000000000011,small,2
80.91000000000011,medium,2
80.91000000000011,large,1
81.84000000000012,small,2
81.84000000000012,medium,2
81.84000000000012,large,1
82.77000000000012,small,2
82.77000000000012,medium,2
82.77000000000012,large,1
83.70000000000013,small,2
83.70000000000013,medium,2
83.70000000000013,large,1
84.63000000000014,small,2
84.63000000000014,medium,2
84.63000000000014,large,1
85.56000000000014,small,2
85.56000000000014,medium,2
85.56000000000014,large,1
86.49000000000015,small,2
86.49000000000015,medium,2
86.49000000000015,large,1
87.42000000000016,small,2
87.42000000000016,medium,2
87.42000000000016,large,1
88.35000000000016,small,2
88.35000000000016,medium,2
88.35000000000016,large,1
89.28000000000017,small,2
89.28000000000017,medium,2
89.28000000000017,large,1
90.21000000000018,small,2
90.21000000000018,medium,2
90.21000000000018,large,1
91.14000000000019,small,2
91.14000000000019,medium,2
91.14000000000019,large,1
92.07000000000019,small,2
92.07000000000019,medium,2
92.07000000000019,large,1
93.0000000000002,small,2
93.0000000000002,medium,2
93.0000000000002,large,1
93.9300000000002,small,2
93.9300000000002,medium,2
93.9300000000002,large,1
94.86000000000021,small,2
94.86000000000021,medium,2
94.86000000000021,large,1
95.79000000000022,small,2
95.79000000000022,medium,2
95.79000000000022,large,1
96.72000000000023,small,2
96.72000000000023,medium,2
96.72000000000023,large,1
97.65000000000023,small,2
97.65000000000023,medium,2
97.65000000000023,large,1
98.58000000000024,small,2
98.58000000000024,medium,2
98.58000000000024,large,1
99.51000000000025,small,2
99.51000000000025,medium,2
99.51000000000025,large,1
100.44000000000025,small,2
100.44000000000025,medium,2
100.44000000000025,large,1
101.37000000000026,small,2
101.37000000000026,medium,2
101.37000000000026,large,1
102.30000000000027,small,2
102.30000000000027,medium,2
102.30000000000027,large,1
103.23000000000027,small,2
103.23000000000027,medium,2
103.23000000000027,large,1
104.16000000000028,small,2
104.16000000000028,medium,2
104.16000000000028,large,1
105.09000000000029,small,2
105.09000000000029,medium,2
105.09000000000029,large,1
106.0200000000003,small,2
106.0200000000003,medium,2
106.0200000000003,large,1
106.9500000000003,small,2
106.9500000000003,medium,2
106.9500000000003,large,1
107.88000000000031,small,2
107.88000000000031,medium,2
107.88000000000031,large,1
108.81000000000031,small,2
108.81000000000031,medium,2
108.81000000000031,large,1
109.74000000000032,small,4
109.74000000000032,medium,1
109.74000000000032,large,1
110.67000000000033,small,2
110.67000000000033,medium,2
110.67000000000033,large,1
111.60000000000034,small,2
111.60000000000034,medium,2
111.60000000000034,large,1
112.53000000000034,small,2
112.53000000000034,medium,2
112.53000000000034,large,1
113.46000000000035,small,2
113.46000000000035,medium,2
113.46000000000035,large,1
114.39000000000036,small,2
114.39000000000036,medium,2
114.39000000000036,large,1
115.32000000000036,small,2
115.32000000000036,medium,2
115.32000000000036,large,1
116.25000000000037,small,2
116.25000000000037,medium,2
116.25000000000037,large,1
117.18000000000038,small,2
117.18000000000038,medium,2
117.18000000000038,large,1
118.11000000000038,small,2
118.11000000000038,medium,2
118.11000000000038,large,1
119.04000000000039,small,2
119.04000000000039,medium,2
119.04000000000039,large,1
119.9700000000004,small,2
119.9700000000004,medium,2
119.9700000000004,large,1
120.9000000000004,small,2
120.9000000000004,medium,2
120.9000000000004,large,1
